"Kod";"Nazwa";"ogółem;kobiety;2019;[osoba]";
2407084;"Woźniki - miasto (4)";2172;
2407085;"Woźniki - obszar wiejski (5)";2678;
2408011;"Łaziska Górne (1)";11454;
2408021;"Mikołów (1)";21319;
2408031;"Orzesze (1)";10668;
2408042;"Ornontowice (2)";3139;
2408052;"Wyry (2)";4291;
2409011;"Myszków (1)";16489;
2409023;"Koziegłowy (3)";7387;
2409024;"Koziegłowy - miasto (4)";1252;
2409025;"Koziegłowy - obszar wiejski (5)";6135;
2409032;"Niegowa (2)";2799;
2409042;"Poraj (2)";5687;
2409053;"Żarki (3)";4324;
2409054;"Żarki - miasto (4)";2362;
2409055;"Żarki - obszar wiejski (5)";1962;
2410012;"Goczałkowice-Zdrój (2)";3492;
2410022;"Kobiór (2)";2474;
2410032;"Miedźna (2)";8310;
2410042;"Pawłowice (2)";9206;
2410053;"Pszczyna (3)";27280;
2410054;"Pszczyna - miasto (4)";13586;
2410055;"Pszczyna - obszar wiejski (5)";13694;
2410062;"Suszec (2)";6246;
2411011;"Racibórz (1)";28804;
2411022;"Kornowac (2)";2632;
2411033;"Krzanowice (3)";2944;
2411034;"Krzanowice - miasto (4)";1136;
2411035;"Krzanowice - obszar wiejski (5)";1808;
2411042;"Krzyżanowice (2)";5801;
2411053;"Kuźnia Raciborska (3)";5974;
2411054;"Kuźnia Raciborska - miasto (4)";2679;
2411055;"Kuźnia Raciborska - obszar wiejski (5)";3295;
2411062;"Nędza (2)";3832;
2411072;"Pietrowice Wielkie (2)";3608;
2411082;"Rudnik (2)";2704;
2412013;"Czerwionka-Leszczyny (3)";21464;
2412014;"Czerwionka-Leszczyny - miasto (4)";14330;
2412015;"Czerwionka-Leszczyny - obszar wiejski (5)";7134;
2412022;"Gaszowice (2)";4919;
2412032;"Jejkowice (2)";2076;
2412042;"Lyski (2)";4923;
2412052;"Świerklany (2)";6331;
2413011;"Kalety (1)";4399;
2413021;"Miasteczko Śląskie (1)";3853;
2413031;"Radzionków (1)";8657;
2413041;"Tarnowskie Góry (1)";32080;
2413052;"Krupski Młyn (2)";1586;
2413062;"Ożarowice (2)";2994;
2413072;"Świerklaniec (2)";6323;
2413082;"Tworóg (2)";4154;
2413092;"Zbrosławice (2)";8182;
2414011;"Bieruń (1)";9841;
2414021;"Imielin (1)";4702;
2414031;"Lędziny (1)";8446;
2414042;"Bojszowy (2)";4039;
2414052;"Chełm Śląski (2)";3310;
2415011;"Pszów (1)";7033;
2415021;"Radlin (1)";9177;
2415031;"Rydułtowy (1)";11074;
2415041;"Wodzisław Śląski (1)";24812;
2415052;"Godów (2)";7073;
2415062;"Gorzyce (2)";10815;
2415072;"Lubomia (2)";4086;
2415082;"Marklowice (2)";2754;
2415092;"Mszana (2)";3859;
2416011;"Poręba (1)";4421;
2416021;"Zawiercie (1)";25891;
2416032;"Irządze (2)";1290;
2416042;"Kroczyce (2)";3124;
2416053;"Łazy (3)";8200;
2416054;"Łazy - miasto (4)";3498;
2416055;"Łazy - obszar wiejski (5)";4702;
2416063;"Ogrodzieniec (3)";4675;
2416064;"Ogrodzieniec - miasto (4)";2217;
2416065;"Ogrodzieniec - obszar wiejski (5)";2458;
2416073;"Pilica (3)";4272;
2416074;"Pilica - miasto (4)";963;
2416075;"Pilica - obszar wiejski (5)";3309;
2416083;"Szczekociny (3)";3860;
2416084;"Szczekociny - miasto (4)";1828;
2416085;"Szczekociny - obszar wiejski (5)";2032;
2416092;"Włodowice (2)";2693;
2416102;"Żarnowiec (2)";2324;
2417011;"Żywiec (1)";16178;
2417022;"Czernichów (2)";3477;
2417032;"Gilowice (2)";3199;
2417042;"Jeleśnia (2)";6656;
2417052;"Koszarawa (2)";1156;
2417062;"Lipowa (2)";5608;
2417072;"Łękawica (2)";2302;
2417082;"Łodygowice (2)";7416;
2417092;"Milówka (2)";5166;
2417102;"Radziechowy-Wieprz (2)";6629;
2417112;"Rajcza (2)";4512;
2417122;"Ślemień (2)";1801;
2417132;"Świnna (2)";4133;
2417142;"Ujsoły (2)";2199;
2417152;"Węgierska Górka (2)";7667;
2461011;"Bielsko-Biała (1)";89995;
2462011;"Bytom (1)";86420;
2463011;"Chorzów (1)";56552;
2464011;"Częstochowa (1)";116982;
2465011;"Dąbrowa Górnicza (1)";62250;
2466011;"Gliwice (1)";92847;
2467011;"Jastrzębie-Zdrój (1)";45490;
2468011;"Jaworzno (1)";46941;
2469011;"Katowice (1)";153500;
2470011;"Mysłowice (1)";38612;
2471011;"Piekary Śląskie (1)";28625;
2472011;"Ruda Śląska (1)";71044;
2473011;"Rybnik (1)";70757;
2474011;"Siemianowice Śląskie (1)";34985;
2475011;"Sosnowiec (1)";105360;
2476011;"Świętochłowice (1)";25789;
2477011;"Tychy (1)";66184;
2478011;"Zabrze (1)";89209;
2479011;"Żory (1)";31957;
2600000;"ŚWIĘTOKRZYSKIE";632297;
2601013;"Busko-Zdrój (3)";16742;
2601014;"Busko-Zdrój - miasto (4)";8457;
2601015;"Busko-Zdrój - obszar wiejski (5)";8285;
2601022;"Gnojno (2)";2129;
2601033;"Nowy Korczyn (3)";2996;
2601034;"Nowy Korczyn - miasto (4)";485;
2601035;"Nowy Korczyn - obszar wiejski (5)";2511;
2601043;"Pacanów (3)";3741;
2601044;"Pacanów - miasto (4)";605;
2601045;"Pacanów - obszar wiejski (5)";3136;
2601052;"Solec-Zdrój (2)";2589;
2601063;"Stopnica (3)";3835;
2601064;"Stopnica - miasto (4)";717;
2601065;"Stopnica - obszar wiejski (5)";3118;
2601072;"Tuczępy (2)";1871;
2601083;"Wiślica (3)";2760;
2601084;"Wiślica - miasto (4)";248;
2601085;"Wiślica - obszar wiejski (5)";2512;
2602012;"Imielno (2)";2146;
2602023;"Jędrzejów (3)";14395;
2602024;"Jędrzejów - miasto (4)";7888;
2602025;"Jędrzejów - obszar wiejski (5)";6507;
2602033;"Małogoszcz (3)";5749;
2602034;"Małogoszcz - miasto (4)";1908;
2602035;"Małogoszcz - obszar wiejski (5)";3841;
2602042;"Nagłowice (2)";2463;
2602052;"Oksa (2)";2281;
2602063;"Sędziszów (3)";6258;
2602064;"Sędziszów - miasto (4)";3250;
2602065;"Sędziszów - obszar wiejski (5)";3008;
2602072;"Słupia (2)";2163;
2602082;"Sobków (2)";4211;
2602092;"Wodzisław (2)";3435;
2603012;"Bejsce (2)";2054;
2603022;"Czarnocin (2)";1904;
2603033;"Kazimierza Wielka (3)";8234;
2603034;"Kazimierza Wielka - miasto (4)";2902;
2603035;"Kazimierza Wielka - obszar wiejski (5)";5332;
2603043;"Opatowiec (3)";1645;
2603044;"Opatowiec - miasto (4)";177;
2603045;"Opatowiec - obszar wiejski (5)";1468;
2603053;"Skalbmierz (3)";3222;
2603054;"Skalbmierz - miasto (4)";657;
2603055;"Skalbmierz - obszar wiejski (5)";2565;
2604012;"Bieliny (2)";5170;
2604023;"Bodzentyn (3)";5759;
2604024;"Bodzentyn - miasto (4)";1121;
2604025;"Bodzentyn - obszar wiejski (5)";4638;
2604033;"Chęciny (3)";7671;
2604034;"Chęciny - miasto (4)";2259;
2604035;"Chęciny - obszar wiejski (5)";5412;
2604043;"Chmielnik (3)";5595;
2604044;"Chmielnik - miasto (4)";1892;
2604045;"Chmielnik - obszar wiejski (5)";3703;
2604053;"Daleszyce (3)";7939;
2604054;"Daleszyce - miasto (4)";1438;
2604055;"Daleszyce - obszar wiejski (5)";6501;
2604062;"Górno (2)";7325;
2604073;"Łagów (3)";3363;
2604074;"Łagów - miasto (4)";763;
2604075;"Łagów - obszar wiejski (5)";2600;
2604082;"Łopuszno (2)";4455;
2604092;"Masłów (2)";5482;
2604102;"Miedziana Góra (2)";5949;
2604112;"Mniów (2)";4758;
2604123;"Morawica (3)";8293;
2604124;"Morawica - miasto (4)";878;
2604125;"Morawica - obszar wiejski (5)";7415;
2604133;"Nowa Słupia (3)";4742;
2604134;"Nowa Słupia - miasto (4)";709;
2604135;"Nowa Słupia - obszar wiejski (5)";4033;
2604142;"Piekoszów (2)";8388;
2604153;"Pierzchnica (3)";2341;
2604154;"Pierzchnica - miasto (4)";610;
2604155;"Pierzchnica - obszar wiejski (5)";1731;
2604162;"Raków (2)";2750;
2604172;"Sitkówka-Nowiny (2)";4004;
2604182;"Strawczyn (2)";5450;
2604192;"Zagnańsk (2)";6553;
2605012;"Fałków (2)";2199;
2605022;"Gowarczów (2)";2271;
2605033;"Końskie (3)";18070;
2605034;"Końskie - miasto (4)";9967;
2605035;"Końskie - obszar wiejski (5)";8103;
2605043;"Radoszyce (3)";4431;
2605044;"Radoszyce - miasto (4)";1607;
2605045;"Radoszyce - obszar wiejski (5)";2824;
2605052;"Ruda Maleniecka (2)";1546;
2605062;"Słupia Konecka (2)";1586;
2605072;"Smyków (2)";1873;
2605083;"Stąporków (3)";8509;
2605084;"Stąporków - miasto (4)";2928;
2605085;"Stąporków - obszar wiejski (5)";5581;
2606012;"Baćkowice (2)";2383;
2606022;"Iwaniska (2)";3232;
2606032;"Lipnik (2)";2596;
2606043;"Opatów (3)";5991;
2606044;"Opatów - miasto (4)";3392;
2606045;"Opatów - obszar wiejski (5)";2599;
2606053;"Ożarów (3)";5376;
2606054;"Ożarów - miasto (4)";2337;
2606055;"Ożarów - obszar wiejski (5)";3039;
2606062;"Sadowie (2)";2013;
2606072;"Tarłów (2)";2586;
2606082;"Wojciechowice (2)";1993;
2607011;"Ostrowiec Świętokrzyski (1)";36207;
2607022;"Bałtów (2)";1733;
2607032;"Bodzechów (2)";6766;
2607043;"Ćmielów (3)";3762;
2607044;"Ćmielów - miasto (4)";1570;
2607045;"Ćmielów - obszar wiejski (5)";2192;
2607053;"Kunów (3)";4943;
2607054;"Kunów - miasto (4)";1448;
2607055;"Kunów - obszar wiejski (5)";3495;
2607062;"Waśniów (2)";3359;
2608013;"Działoszyce (3)";2470;
2608014;"Działoszyce - miasto (4)";474;
2608015;"Działoszyce - obszar wiejski (5)";1996;
2608022;"Kije (2)";2207;
2608032;"Michałów (2)";2274;
2608043;"Pińczów (3)";10506;
2608044;"Pińczów - miasto (4)";5566;
2608045;"Pińczów - obszar wiejski (5)";4940;
2608052;"Złota (2)";2270;
2609011;"Sandomierz (1)";12427;
2609022;"Dwikozy (2)";4382;
2609032;"Klimontów (2)";4016;
2609043;"Koprzywnica (3)";3352;
2609044;"Koprzywnica - miasto (4)";1260;
2609045;"Koprzywnica - obszar wiejski (5)";2092;
2609052;"Łoniów (2)";3710;
2609062;"Obrazów (2)";3259;
2609072;"Samborzec (2)";4240;
2609082;"Wilczyce (2)";1841;
2609093;"Zawichost (3)";2263;
2609094;"Zawichost - miasto (4)";899;
2609095;"Zawichost - obszar wiejski (5)";1364;
2610011;"Skarżysko-Kamienna (1)";23511;
2610022;"Bliżyn (2)";4054;
2610032;"Łączna (2)";2518;
2610042;"Skarżysko Kościelne (2)";3027;
2610053;"Suchedniów (3)";5215;
2610054;"Suchedniów - miasto (4)";4293;
2610055;"Suchedniów - obszar wiejski (5)";922;
2611011;"Starachowice (1)";25421;
2611022;"Brody (2)";5541;
2611032;"Mirzec (2)";4101;
2611042;"Pawłów (2)";7614;
2611053;"Wąchock (3)";3489;
2611054;"Wąchock - miasto (4)";1410;
2611055;"Wąchock - obszar wiejski (5)";2079;
2612012;"Bogoria (2)";3855;
2612022;"Łubnice (2)";2079;
2612033;"Oleśnica (3)";1955;
2612034;"Oleśnica - miasto (4)";941;
2612035;"Oleśnica - obszar wiejski (5)";1014;
2612043;"Osiek (3)";3810;
2612044;"Osiek - miasto (4)";1013;
2612045;"Osiek - obszar wiejski (5)";2797;
2612053;"Połaniec (3)";5939;
2612054;"Połaniec - miasto (4)";4119;
2612055;"Połaniec - obszar wiejski (5)";1820;
2612062;"Rytwiany (2)";3212;
2612073;"Staszów (3)";13065;
2612074;"Staszów - miasto (4)";7570;
2612075;"Staszów - obszar wiejski (5)";5495;
2612083;"Szydłów (3)";2338;
2612084;"Szydłów - miasto (4)";554;
2612085;"Szydłów - obszar wiejski (5)";1784;
2613012;"Kluczewsko (2)";2556;
2613022;"Krasocin (2)";5247;
2613032;"Moskorzew (2)";1305;
2613042;"Radków (2)";1248;
2613052;"Secemin (2)";2405;
2613063;"Włoszczowa (3)";9759;
2613064;"Włoszczowa - miasto (4)";5155;
2613065;"Włoszczowa - obszar wiejski (5)";4604;
2661011;"Kielce (1)";103581;
2800000;"WARMIŃSKO-MAZURSKIE";726828;
2801011;"Bartoszyce (1)";12375;
2801021;"Górowo Iławeckie (1)";2014;
2801032;"Bartoszyce (2)";5242;
2801043;"Bisztynek (3)";3204;
2801044;"Bisztynek - miasto (4)";1266;
2801045;"Bisztynek - obszar wiejski (5)";1938;
2801052;"Górowo Iławeckie (2)";3397;
2801063;"Sępopol (3)";3053;
2801064;"Sępopol - miasto (4)";986;
2801065;"Sępopol - obszar wiejski (5)";2067;
2802011;"Braniewo (1)";8716;
2802022;"Braniewo (2)";2914;
2802033;"Frombork (3)";1819;
2802034;"Frombork - miasto (4)";1201;
2802035;"Frombork - obszar wiejski (5)";618;
2802042;"Lelkowo (2)";1427;
2802053;"Pieniężno (3)";3007;
2802054;"Pieniężno - miasto (4)";1427;
2802055;"Pieniężno - obszar wiejski (5)";1580;
2802062;"Płoskinia (2)";1215;
2802072;"Wilczęta (2)";1445;
2803011;"Działdowo (1)";11070;
2803022;"Działdowo (2)";4796;
2803032;"Iłowo-Osada (2)";3687;
2803043;"Lidzbark (3)";7111;
2803044;"Lidzbark - miasto (4)";4019;
2803045;"Lidzbark - obszar wiejski (5)";3092;
2803052;"Płośnica (2)";2786;
2803062;"Rybno (2)";3598;
2804012;"Elbląg (2)";3682;
2804022;"Godkowo (2)";1517;
2804032;"Gronowo Elbląskie (2)";2557;
2804042;"Markusy (2)";1973;
2804052;"Milejewo (2)";1696;
2804063;"Młynary (3)";2191;
2804064;"Młynary - miasto (4)";892;
2804065;"Młynary - obszar wiejski (5)";1299;
2804073;"Pasłęk (3)";9811;
2804074;"Pasłęk - miasto (4)";6329;
2804075;"Pasłęk - obszar wiejski (5)";3482;
2804082;"Rychliki (2)";1835;
2804093;"Tolkmicko (3)";3273;
2804094;"Tolkmicko - miasto (4)";1343;
2804095;"Tolkmicko - obszar wiejski (5)";1930;
2805011;"Ełk (1)";32222;
2805022;"Ełk (2)";5738;
2805032;"Kalinowo (2)";3209;
2805042;"Prostki (2)";3554;
2805052;"Stare Juchy (2)";1841;
2806011;"Giżycko (1)";15419;
2806042;"Giżycko (2)";4235;
2806052;"Kruklanki (2)";1536;
2806062;"Miłki (2)";1812;
2806083;"Ryn (3)";2827;
2806084;"Ryn - miasto (4)";1431;
2806085;"Ryn - obszar wiejski (5)";1396;
2806102;"Wydminy (2)";3107;
2807011;"Iława (1)";17350;
2807021;"Lubawa (1)";5359;
2807032;"Iława (2)";6365;
2807043;"Kisielice (3)";2907;
2807044;"Kisielice - miasto (4)";1040;
2807045;"Kisielice - obszar wiejski (5)";1867;
2807052;"Lubawa (2)";5244;
2807063;"Susz (3)";6302;
2807064;"Susz - miasto (4)";2817;
2807065;"Susz - obszar wiejski (5)";3485;
2807073;"Zalewo (3)";3347;
2807074;"Zalewo - miasto (4)";1081;
2807075;"Zalewo - obszar wiejski (5)";2266;
2808011;"Kętrzyn (1)";14222;
2808022;"Barciany (2)";2992;
2808032;"Kętrzyn (2)";4019;
2808043;"Korsze (3)";4815;
2808044;"Korsze - miasto (4)";2148;
2808045;"Korsze - obszar wiejski (5)";2667;
2808053;"Reszel (3)";3847;
2808054;"Reszel - miasto (4)";2372;
2808055;"Reszel - obszar wiejski (5)";1475;
2808062;"Srokowo (2)";1859;
2809011;"Lidzbark Warmiński (1)";8185;
2809022;"Kiwity (2)";1605;
2809032;"Lidzbark Warmiński (2)";3244;
2809042;"Lubomino (2)";1766;
2809053;"Orneta (3)";6090;
2809054;"Orneta - miasto (4)";4573;
2809055;"Orneta - obszar wiejski (5)";1517;
2810011;"Mrągowo (1)";11194;
2810023;"Mikołajki (3)";4133;
2810024;"Mikołajki - miasto (4)";1977;
2810025;"Mikołajki - obszar wiejski (5)";2156;
2810032;"Mrągowo (2)";4045;
2810042;"Piecki (2)";3743;
2810052;"Sorkwity (2)";2259;
2811012;"Janowiec Kościelny (2)";1582;
2811022;"Janowo (2)";1309;
2811032;"Kozłowo (2)";2922;
2811043;"Nidzica (3)";10730;
2811044;"Nidzica - miasto (4)";7155;
2811045;"Nidzica - obszar wiejski (5)";3575;
2812011;"Nowe Miasto Lubawskie (1)";5676;
2812022;"Biskupiec (2)";4568;
2812032;"Grodziczno (2)";3115;
2812042;"Kurzętnik (2)";4542;
2812052;"Nowe Miasto Lubawskie (2)";4067;
2813032;"Kowale Oleckie (2)";2396;
2813043;"Olecko (3)";11254;
2813044;"Olecko - miasto (4)";8537;
2813045;"Olecko - obszar wiejski (5)";2717;
2813052;"Świętajno (2)";1853;
2813062;"Wieliczki (2)";1593;
2814013;"Barczewo (3)";9113;
2814014;"Barczewo - miasto (4)";3910;
2814015;"Barczewo - obszar wiejski (5)";5203;
2814023;"Biskupiec (3)";9860;
2814024;"Biskupiec - miasto (4)";5691;
2814025;"Biskupiec - obszar wiejski (5)";4169;
2814033;"Dobre Miasto (3)";8064;
2814034;"Dobre Miasto - miasto (4)";5292;
2814035;"Dobre Miasto - obszar wiejski (5)";2772;
2814042;"Dywity (2)";6044;
2814052;"Gietrzwałd (2)";3345;
2814063;"Jeziorany (3)";3893;
2814064;"Jeziorany - miasto (4)";1712;
2814065;"Jeziorany - obszar wiejski (5)";2181;
2814072;"Jonkowo (2)";3652;
2814082;"Kolno (2)";1584;
2814093;"Olsztynek (3)";6954;
2814094;"Olsztynek - miasto (4)";3876;
2814095;"Olsztynek - obszar wiejski (5)";3078;
2814102;"Purda (2)";4347;
2814112;"Stawiguda (2)";5377;
2814122;"Świątki (2)";1991;
2815011;"Ostróda (1)";17373;
2815022;"Dąbrówno (2)";2044;
2815032;"Grunwald (2)";2769;
2815042;"Łukta (2)";2208;
2815052;"Małdyty (2)";3118;
2815063;"Miłakowo (3)";2678;
2815064;"Miłakowo - miasto (4)";1299;
2815065;"Miłakowo - obszar wiejski (5)";1379;
2815073;"Miłomłyn (3)";2465;
2815074;"Miłomłyn - miasto (4)";1243;
2815075;"Miłomłyn - obszar wiejski (5)";1222;
2815083;"Morąg (3)";12260;
2815084;"Morąg - miasto (4)";7139;
2815085;"Morąg - obszar wiejski (5)";5121;
2815092;"Ostróda (2)";7925;
2816013;"Biała Piska (3)";5745;
2816014;"Biała Piska - miasto (4)";2016;
2816015;"Biała Piska - obszar wiejski (5)";3729;
2816023;"Orzysz (3)";4394;
2816024;"Orzysz - miasto (4)";2849;
2816025;"Orzysz - obszar wiejski (5)";1545;
2816033;"Pisz (3)";13980;
2816034;"Pisz - miasto (4)";9801;
2816035;"Pisz - obszar wiejski (5)";4179;
2816043;"Ruciane-Nida (3)";4063;
2816044;"Ruciane-Nida - miasto (4)";2287;
2816045;"Ruciane-Nida - obszar wiejski (5)";1776;
2817011;"Szczytno (1)";12116;
2817022;"Dźwierzuty (2)";3250;
2817032;"Jedwabno (2)";1833;
2817043;"Pasym (3)";2655;
2817044;"Pasym - miasto (4)";1281;
2817045;"Pasym - obszar wiejski (5)";1374;
2817052;"Rozogi (2)";2681;
2817062;"Szczytno (2)";6526;
2817072;"Świętajno (2)";2869;
2817083;"Wielbark (3)";3142;
2817084;"Wielbark - miasto (4)";1507;
2817085;"Wielbark - obszar wiejski (5)";1635;
2818012;"Banie Mazurskie (2)";1803;
2818022;"Dubeninki (2)";1432;
2818033;"Gołdap (3)";10203;
2818034;"Gołdap - miasto (4)";7008;
2818035;"Gołdap - obszar wiejski (5)";3195;
2819012;"Budry (2)";1375;
2819022;"Pozezdrze (2)";1607;
2819033;"Węgorzewo (3)";8398;
2819034;"Węgorzewo - miasto (4)";5769;
2819035;"Węgorzewo - obszar wiejski (5)";2629;
2861011;"Elbląg (1)";62306;
2862011;"Olsztyn (1)";91976;
3000000;"WIELKOPOLSKIE";1796599;
3001011;"Chodzież (1)";9716;
3001022;"Budzyń (2)";4233;
3001032;"Chodzież (2)";3036;
3001043;"Margonin (3)";3204;
3001044;"Margonin - miasto (4)";1519;
3001045;"Margonin - obszar wiejski (5)";1685;
3001053;"Szamocin (3)";3773;
3001054;"Szamocin - miasto (4)";2149;
3001055;"Szamocin - obszar wiejski (5)";1624;
3002011;"Czarnków (1)";5458;
3002022;"Czarnków (2)";5619;
3002032;"Drawsko (2)";2888;
3002043;"Krzyż Wielkopolski (3)";4414;
3002044;"Krzyż Wielkopolski - miasto (4)";3189;
3002045;"Krzyż Wielkopolski - obszar wiejski (5)";1225;
3002052;"Lubasz (2)";3854;
3002062;"Połajewo (2)";3038;
3002073;"Trzcianka (3)";12370;
3002074;"Trzcianka - miasto (4)";8876;
3002075;"Trzcianka - obszar wiejski (5)";3494;
3002083;"Wieleń (3)";6189;
3002084;"Wieleń - miasto (4)";3008;
3002085;"Wieleń - obszar wiejski (5)";3181;
3003011;"Gniezno (1)";35540;
3003023;"Czerniejewo (3)";3668;
3003024;"Czerniejewo - miasto (4)";1347;
3003025;"Czerniejewo - obszar wiejski (5)";2321;
3003032;"Gniezno (2)";6170;
3003042;"Kiszkowo (2)";2722;
3003053;"Kłecko (3)";3718;
3003054;"Kłecko - miasto (4)";1345;
3003055;"Kłecko - obszar wiejski (5)";2373;
3003062;"Łubowo (2)";3401;
3003072;"Mieleszyn (2)";2043;
3003082;"Niechanowo (2)";3003;
3003093;"Trzemeszno (3)";7154;
3003094;"Trzemeszno - miasto (4)";3917;
3003095;"Trzemeszno - obszar wiejski (5)";3237;
3003103;"Witkowo (3)";6839;
3003104;"Witkowo - miasto (4)";3948;
3003105;"Witkowo - obszar wiejski (5)";2891;
3004013;"Borek Wielkopolski (3)";3687;
3004014;"Borek Wielkopolski - miasto (4)";1232;
3004015;"Borek Wielkopolski - obszar wiejski (5)";2455;
3004023;"Gostyń (3)";14417;
3004024;"Gostyń - miasto (4)";10517;
3004025;"Gostyń - obszar wiejski (5)";3900;
3004033;"Krobia (3)";6533;
3004034;"Krobia - miasto (4)";2187;
3004035;"Krobia - obszar wiejski (5)";4346;
3004042;"Pępowo (2)";2921;
3004052;"Piaski (2)";4338;
3004063;"Pogorzela (3)";2442;
3004064;"Pogorzela - miasto (4)";1042;
3004065;"Pogorzela - obszar wiejski (5)";1400;
3004073;"Poniec (3)";3920;
3004074;"Poniec - miasto (4)";1493;
3004075;"Poniec - obszar wiejski (5)";2427;
3005012;"Granowo (2)";2505;
3005023;"Grodzisk Wielkopolski (3)";10182;
3005024;"Grodzisk Wielkopolski - miasto (4)";7512;
3005025;"Grodzisk Wielkopolski - obszar wiejski (5)";2670;
3005032;"Kamieniec (2)";3316;
3005043;"Rakoniewice (3)";6609;
3005044;"Rakoniewice - miasto (4)";1841;
3005045;"Rakoniewice - obszar wiejski (5)";4768;
3005053;"Wielichowo (3)";3456;
3005054;"Wielichowo - miasto (4)";903;
3005055;"Wielichowo - obszar wiejski (5)";2553;
3006013;"Jaraczewo (3)";4194;
3006014;"Jaraczewo - miasto (4)";714;
3006015;"Jaraczewo - obszar wiejski (5)";3480;
3006023;"Jarocin (3)";23614;
3006024;"Jarocin - miasto (4)";13615;
3006025;"Jarocin - obszar wiejski (5)";9999;
3006032;"Kotlin (2)";3773;
3006043;"Żerków (3)";5108;
3006044;"Żerków - miasto (4)";1080;
3006045;"Żerków - obszar wiejski (5)";4028;
3007012;"Blizanów (2)";5080;
3007022;"Brzeziny (2)";2958;
3007032;"Ceków-Kolonia (2)";2404;
3007042;"Godziesze Wielkie (2)";4833;
3007052;"Koźminek (2)";3779;
3007062;"Lisków (2)";2697;
3007072;"Mycielin (2)";2430;
3007083;"Opatówek (3)";5520;
3007084;"Opatówek - miasto (4)";1895;
3007085;"Opatówek - obszar wiejski (5)";3625;
3007093;"Stawiszyn (3)";3695;
3007094;"Stawiszyn - miasto (4)";755;
3007095;"Stawiszyn - obszar wiejski (5)";2940;
3007102;"Szczytniki (2)";3915;
3007112;"Żelazków (2)";4864;
3008012;"Baranów (2)";3997;
3008022;"Bralin (2)";2989;
3008033;"Kępno (3)";12463;
3008034;"Kępno - miasto (4)";7272;
3008035;"Kępno - obszar wiejski (5)";5191;
3008042;"Łęka Opatowska (2)";2698;
3008052;"Perzów (2)";1901;
3008062;"Rychtal (2)";1893;
3008072;"Trzcinica (2)";2496;
3009011;"Koło (1)";11505;
3009022;"Babiak (2)";3940;
3009032;"Chodów (2)";1488;
3009043;"Dąbie (3)";3152;
3009044;"Dąbie - miasto (4)";1033;
3009045;"Dąbie - obszar wiejski (5)";2119;
3009052;"Grzegorzew (2)";2889;
3009063;"Kłodawa (3)";6534;
3009064;"Kłodawa - miasto (4)";3346;
3009065;"Kłodawa - obszar wiejski (5)";3188;
3009072;"Koło (2)";3880;
3009082;"Kościelec (2)";3407;
3009092;"Olszówka (2)";2258;
3009102;"Osiek Mały (2)";3080;
3009113;"Przedecz (3)";2080;
3009114;"Przedecz - miasto (4)";834;
3009115;"Przedecz - obszar wiejski (5)";1246;
3010013;"Golina (3)";6050;
3010014;"Golina - miasto (4)";2291;
3010015;"Golina - obszar wiejski (5)";3759;
3010022;"Grodziec (2)";2558;
3010032;"Kazimierz Biskupi (2)";5775;
3010043;"Kleczew (3)";5100;
3010044;"Kleczew - miasto (4)";2165;
3010045;"Kleczew - obszar wiejski (5)";2935;
3010052;"Kramsk (2)";5688;
3010062;"Krzymów (2)";4110;
3010073;"Rychwał (3)";4152;
3010074;"Rychwał - miasto (4)";1205;
3010075;"Rychwał - obszar wiejski (5)";2947;
3010082;"Rzgów (2)";3648;
3010092;"Skulsk (2)";3032;
3010103;"Sompolno (3)";5243;
3010104;"Sompolno - miasto (4)";1810;
3010105;"Sompolno - obszar wiejski (5)";3433;
3010112;"Stare Miasto (2)";6237;
3010123;"Ślesin (3)";7043;
3010124;"Ślesin - miasto (4)";1571;
3010125;"Ślesin - obszar wiejski (5)";5472;
3010132;"Wierzbinek (2)";3594;
3010142;"Wilczyn (2)";3104;
3011011;"Kościan (1)";12433;
3011023;"Czempiń (3)";5885;
3011024;"Czempiń - miasto (4)";2771;
3011025;"Czempiń - obszar wiejski (5)";3114;
3011032;"Kościan (2)";8110;
3011043;"Krzywiń (3)";4998;
3011044;"Krzywiń - miasto (4)";863;
3011045;"Krzywiń - obszar wiejski (5)";4135;
3011053;"Śmigiel (3)";8909;
3011054;"Śmigiel - miasto (4)";2892;
3011055;"Śmigiel - obszar wiejski (5)";6017;
3012011;"Sulmierzyce (1)";1425;
3012023;"Kobylin (3)";4033;
3012024;"Kobylin - miasto (4)";1638;
3012025;"Kobylin - obszar wiejski (5)";2395;
3012033;"Koźmin Wielkopolski (3)";6726;
3012034;"Koźmin Wielkopolski - miasto (4)";3355;
3012035;"Koźmin Wielkopolski - obszar wiejski (5)";3371;
3012043;"Krotoszyn (3)";20723;
3012044;"Krotoszyn - miasto (4)";14970;
3012045;"Krotoszyn - obszar wiejski (5)";5753;
3012052;"Rozdrażew (2)";2603;
3012063;"Zduny (3)";3809;
3012064;"Zduny - miasto (4)";2285;
3012065;"Zduny - obszar wiejski (5)";1524;
3013012;"Krzemieniewo (2)";4123;
3013022;"Lipno (2)";4239;
3013033;"Osieczna (3)";4681;
3013034;"Osieczna - miasto (4)";1221;
3013035;"Osieczna - obszar wiejski (5)";3460;
3013043;"Rydzyna (3)";4814;
3013044;"Rydzyna - miasto (4)";1495;
3013045;"Rydzyna - obszar wiejski (5)";3319;
3013052;"Święciechowa (2)";4066;
3013062;"Wijewo (2)";1865;
3013072;"Włoszakowice (2)";4909;
